bus,car,location,motorbike,timestamp_utc,total_vehicles,traffic_status,truck
0,2,CMT8_PhamVanHai,2,2025-07-05T08:01:03.118798,4,1,0
0,3,CMT8_PhamVanHai,5,2025-07-05T08:01:18.685933,9,2,1
0,1,CMT8_PhamVanHai,0,2025-07-05T08:01:34.545942,1,1,0
1,3,CMT8_PhamVanHai,2,2025-07-05T08:01:50.156264,6,2,0
0,1,CMT8_PhamVanHai,2,2025-07-05T08:02:05.713415,3,1,0
0,2,CMT8_PhamVanHai,3,2025-07-05T08:02:21.277973,5,1,0
0,1,CMT8_PhamVanHai,2,2025-07-05T08:02:36.900912,3,1,0
0,4,CMT8_PhamVanHai,3,2025-07-05T08:02:52.438582,7,2,0
0,3,CMT8_PhamVanHai,4,2025-07-05T08:03:08.248130,8,2,1
1,2,CMT8_PhamVanHai,0,2025-07-05T08:03:23.789088,3,1,0
0,3,CMT8_PhamVanHai,4,2025-07-05T08:03:39.463746,7,1,0
0,2,CMT8_PhamVanHai,0,2025-07-05T08:03:55.125749,2,1,0
0,5,CMT8_PhamVanHai,0,2025-07-05T08:04:10.677469,6,2,1
0,3,CMT8_PhamVanHai,7,2025-07-05T08:04:26.200357,10,2,0
0,4,CMT8_PhamVanHai,3,2025-07-05T08:04:41.810093,7,2,0
0,3,CMT8_PhamVanHai,4,2025-07-05T08:04:57.431368,7,1,0
1,4,CMT8_PhamVanHai,1,2025-07-05T08:05:13.125642,6,2,0
0,4,CMT8_PhamVanHai,5,2025-07-05T08:05:28.750493,9,2,0
0,3,CMT8_PhamVanHai,3,2025-07-05T08:05:45.820291,7,2,1
0,2,CMT8_PhamVanHai,3,2025-07-05T08:06:01.378456,5,1,0
0,6,CMT8_PhamVanHai,2,2025-07-05T08:06:17.008164,8,2,0
0,2,CMT8_PhamVanHai,2,2025-07-05T08:06:32.541224,4,1,0
0,4,CMT8_PhamVanHai,3,2025-07-05T08:06:48.165623,7,2,0
0,3,CMT8_PhamVanHai,6,2025-07-05T08:07:03.736611,9,2,0
0,2,CMT8_PhamVanHai,3,2025-07-05T08:07:19.278704,6,2,1
0,4,CMT8_PhamVanHai,3,2025-07-05T08:07:34.907597,7,2,0
0,2,CMT8_PhamVanHai,1,2025-07-05T08:07:50.494848,4,1,1
0,3,CMT8_PhamVanHai,1,2025-07-05T08:08:06.116478,4,1,0
0,1,CMT8_PhamVanHai,2,2025-07-05T08:08:21.715978,4,1,1
0,4,CMT8_PhamVanHai,2,2025-07-05T08:08:37.267786,6,1,0
0,7,CMT8_PhamVanHai,3,2025-07-05T08:08:52.950904,10,2,0
0,3,CMT8_PhamVanHai,4,2025-07-05T08:09:08.564406,7,1,0
0,2,CMT8_PhamVanHai,6,2025-07-05T08:09:24.192867,8,1,0
0,5,CMT8_PhamVanHai,2,2025-07-05T08:09:42.396462,7,2,0
0,2,CMT8_PhamVanHai,4,2025-07-05T08:09:59.003583,6,1,0
0,4,CMT8_PhamVanHai,2,2025-07-05T08:10:14.760905,6,1,0
0,4,CMT8_PhamVanHai,2,2025-07-05T08:10:30.347494,6,1,0
0,4,CMT8_PhamVanHai,3,2025-07-05T08:10:45.931978,7,2,0
0,7,CMT8_PhamVanHai,2,2025-07-05T08:11:03.920105,9,2,0
0,1,CMT8_PhamVanHai,2,2025-07-05T08:11:19.492973,3,1,0
0,3,CMT8_PhamVanHai,5,2025-07-05T08:11:35.121452,8,2,0
0,4,CMT8_PhamVanHai,5,2025-07-05T08:11:50.771651,10,2,1
0,3,CMT8_PhamVanHai,3,2025-07-05T08:12:06.359177,7,2,1
0,3,CMT8_PhamVanHai,3,2025-07-05T08:12:21.905093,6,1,0
0,2,CMT8_PhamVanHai,4,2025-07-05T08:12:37.451375,6,1,0
0,4,CMT8_PhamVanHai,1,2025-07-05T08:12:55.422735,6,2,1
0,5,CMT8_PhamVanHai,1,2025-07-05T08:13:12.149893,6,2,0
0,4,CMT8_PhamVanHai,4,2025-07-05T08:13:27.820537,8,2,0
0,2,CMT8_PhamVanHai,3,2025-07-05T08:13:43.445688,5,1,0
0,3,CMT8_PhamVanHai,1,2025-07-05T08:13:58.981987,4,1,0
0,2,CMT8_PhamVanHai,0,2025-07-05T08:14:14.572802,3,1,1
0,3,CMT8_PhamVanHai,0,2025-07-05T08:14:30.164173,5,2,2
